Date,Tweets,Trending,Retweets,Favs,Comments
2017-01-18,Writing my inaugural address at the Winter White House Mar-a-Lago three weeks ago. Looking forward to Friday. ,,19000.0,100000.0,33000.0
2017-01-18,.  was great last night in D.C. playing for 147 Diplomats and Ambassadors from countries around the world. Thanks Alabama!,TheAlabamaBand,10000.0,62000.0,4700.0
2017-01-18,No wonder the Today Show on biased   is doing so badly compared to its glorious past. Little credibility!,NBC,9700.0,53000.0,13000.0
2017-01-18,"""Bayer AG has pledged to add U.S. jobs and investments after meeting with President-elect Donald Trump the latest in a string..."" ",WSJ,11000.0,54000.0,4600.0
2017-01-18,"""to the U.S. but had nothing to do with TRUMP is more FAKE NEWS. Ask top CEOs of those companies for real facts. Came back because of me!""",,11000.0,54000.0,13000.0
2017-01-18,Totally biased   went out of its way to say that the big announcement from Ford G.M. Lockheed & others that jobs are coming back...,NBCNews,9300.0,45000.0,5300.0
2017-01-18,Will be interviewed by   on   - Enjoy!,"ainsleyearhardt, foxandfriends",5200.0,35000.0,4400.0
2017-01-19,Join me at 4pm over at the Lincoln Memorial with my family!n,,11000.0,62000.0,8900.0
2017-01-19,Great Concert at 400 P.M. today at Lincoln Memorial. Enjoy!,,7700.0,61000.0,5300.0
2017-01-19,On my way! ,,8100.0,53000.0,5400.0
2017-01-19,the American people. I have no doubt that we will together MAKE AMERICA GREAT AGAIN!,,36000.0,150000.0,19000.0
2017-01-19,Getting ready to leave for Washington D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..,,24000.0,141000.0,12000.0
2017-01-19,"""It wasnt Donald Trump that divided this country this country has been divided for a long time!"" Stated today by Reverend Franklin Graham.",,26000.0,117000.0,15000.0
2017-01-19,Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C.   ,,15000.0,77000.0,5400.0
2017-01-19,Great seeing    and Kimberly at this evenings VP dinner! ,,9300.0,61000.0,5200.0
2017-01-20,TO ALL AMERICANS n,,15000.0,86000.0,13000.0
2017-01-20,So to all Americans in every city near and far small and large from mountain to mountain...,,13000.0,81000.0,7100.0
2017-01-20,It is time to remember that...,,8300.0,55000.0,3400.0
2017-01-20,We will follow two simple rules BUY AMERICAN & HIRE AMERICAN!n  ,"InaugurationDay, MAGA",35000.0,151000.0,18000.0
2017-01-20,We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!,,34000.0,163000.0,12000.0
2017-01-20,The forgotten men and women of our country will be forgotten no longer. From this moment on it’s going to be ,AmericaFirst,32000.0,139000.0,6700.0
2017-01-20,January 20th 2017 will be remembered as the day the people became the rulers of this nation again.,,58000.0,208000.0,15000.0
2017-01-20,What truly matters is not which party controls our government but whether our government is controlled by the people.,,40000.0,171000.0,8900.0
2017-01-20,power from Washington D.C. and giving it back to you the American People. ,InaugurationDay,17000.0,85000.0,5500.0
2017-01-20,Today we are not merely transferring power from one Administration to another or from one party to another – but we are transferring...,,19000.0,103000.0,5600.0
2017-01-20,It all begins today! I will see you at 1100 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,,65000.0,254000.0,31000.0
2017-01-20,Thank you for a wonderful evening in Washington D.C. ,,19000.0,106000.0,9700.0
2017-01-20,Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together we are going to MAKE AMERICA GREAT AGAIN!,,32000.0,157000.0,17000.0
2017-01-21,A fantastic day and evening in Washington D.C.Thank you to   and so many other news outlets for the GREAT reviews of the speech!,FoxNews,22000.0,168000.0,23000.0
2017-01-21,THANK YOU for another wonderful evening in Washington D.C. TOGETHER we will MAKE AMERICA GREAT AGAIN,,48000.0,274000.0,28000.0
2017-01-22,"""Peaceful protests are a hallmark of our democracy. Even if I dont always agree I recognize the rights of people to express their views.""",,83000.0,377000.0,49000.0
2017-01-22,Wow television ratings just out 31 million people watched the Inauguration 11 million more than the very good ratings from 4 years ago!,,37000.0,205000.0,55000.0
2017-01-22,"""Watched protests yesterday but was under the impression that we just had an election! Why didnt these people vote? Celebs hurt cause badly.""",,42000.0,200000.0,58000.0
2017-01-22,Had a great meeting at CIA Headquarters yesterday packed house paid great respect to Wall long standing ovations amazing people. WIN!,,15000.0,120000.0,20000.0
2017-01-23,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 900 A.M. to talk manufacturing in America.,,25000.0,167000.0,25000.0
2017-01-24,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Office.,,24000.0,124000.0,38000.0
2017-01-24,Great meeting with automobile industry leaders at the   this morning. Together we will  !,,15000.0,94000.0,8100.0
2017-01-24,A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas!,,19000.0,103000.0,25000.0
2017-01-24,Will be meeting at 900 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,,22000.0,146000.0,17000.0
2017-01-25,"I will be interviewed by  "" tonight at 10 oclock on "" . Will be my first interview from the White House. Enjoy!",,11000.0,71000.0,14000.0
2017-01-25,I will be making my Supreme Court pick on Thursday of next week.Thank you!,,20000.0,124000.0,18000.0
2017-01-25,even those registered to vote who are dead (and many for a long time). Depending on results we will strengthen up voting procedures!,,17000.0,100000.0,24000.0
2017-01-25,I will be asking for a major investigation into VOTER FRAUD including those registered to vote in two states those who are illegal and....,,24000.0,121000.0,42000.0
2017-01-25,Big day planned on NATIONAL SECURITY tomorrow. Among many other things we will build the wall!,,49000.0,181000.0,39000.0
2017-01-25,"If Chicago doesnt fix the horrible ""carnage"" going on 228 shootings in 2017 with 42 killings (up 24% from 2016) I will send in the Feds!",,51000.0,195000.0,38000.0
2017-01-25,Congratulations to   for being number one in inauguration ratings. They were many times higher than FAKE NEWS   - public is smart!,"FoxNews, CNN",29000.0,152000.0,32000.0
2017-01-25,Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the   today.,,17000.0,95000.0,8100.0
2017-01-26,Miami-Dade Mayor drops sanctuary policy. Right decision. Strong!,,23000.0,105000.0,15000.0
2017-01-26,Will be interviewed by   on   at 1000pm tonight. Enjoy!,"SeanHannity, FoxNews",9800.0,69000.0,16000.0
2017-01-26,Spoke at the Congressional   Retreat in Philadelphia PA. this afternoon w/      . Thank you for your support!,,10000.0,68000.0,11000.0
2017-01-26,of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall then it would be better to cancel the upcoming meeting.,,26000.0,108000.0,38000.0
2017-01-26,The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers...,,24000.0,99000.0,12000.0
2017-01-26,Ungrateful TRAITOR Chelsea Manning who should never have been released from prison is now calling President Obama a weak leader. Terrible!,,26000.0,120000.0,24000.0
2017-01-26,Interview with David Muir of   News in 10 minutes. Enjoy!,ABC,6000.0,50000.0,14000.0
